model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national,270,reference,178.0,19.0,171.0,169.0,7.0,13.0,20.0,NaN,NaN
national,271,calibration,200.0,43.0,126.0,165.0,9.0,12.0,22.0,13.341434176287205,NaN
national,272,reference,202.0,39.0,126.0,161.0,10.0,12.0,27.0,NaN,NaN
national,273,calibration,197.0,19.0,146.0,170.0,11.0,13.0,21.0,17.775681352006,NaN
national,274,reference,203.0,22.0,164.0,142.0,10.0,11.0,25.0,NaN,NaN
national,275,calibration,159.0,39.0,156.0,176.0,11.0,13.0,23.0,33.91394614826291,NaN
national,276,reference,194.0,36.0,126.0,174.0,10.0,12.0,25.0,NaN,NaN
national,277,calibration,155.0,38.0,156.0,177.0,9.0,13.0,29.0,36.92699486079066,NaN
national,278,reference,231.0,40.0,83.0,176.0,10.0,13.0,24.0,NaN,NaN
national,279,calibration,223.0,36.0,147.0,127.0,7.0,13.0,24.0,30.83013409353956,NaN
national,280,reference,202.0,42.0,114.0,170.0,10.0,11.0,28.0,NaN,NaN
national,281,calibration,191.0,21.0,190.0,135.0,10.0,13.0,17.0,43.64469446753351,NaN
national,282,reference,198.0,28.0,135.0,169.0,9.0,12.0,26.0,NaN,NaN
national,283,calibration,183.0,32.0,136.0,180.0,8.0,12.0,26.0,19.54988752675582,NaN
national,284,reference,175.0,41.0,146.0,169.0,8.0,12.0,26.0,NaN,NaN
national,285,calibration,217.0,44.0,69.0,195.0,10.0,14.0,28.0,53.328282592680196,NaN
national,286,reference,174.0,36.0,156.0,163.0,9.0,13.0,26.0,NaN,NaN
national,287,calibration,198.0,40.0,122.0,168.0,12.0,13.0,24.0,13.751912074413685,NaN
national,288,reference,215.0,43.0,82.0,182.0,10.0,13.0,32.0,NaN,NaN
national,289,calibration,200.0,38.0,137.0,158.0,9.0,13.0,22.0,12.56662759713831,NaN
national,290,reference,191.0,23.0,166.0,155.0,9.0,11.0,22.0,NaN,NaN
national,291,calibration,210.0,46.0,107.0,170.0,9.0,10.0,25.0,19.974208336647532,NaN
national,292,reference,169.0,39.0,162.0,155.0,10.0,12.0,30.0,NaN,NaN
national,293,calibration,204.0,41.0,122.0,167.0,8.0,12.0,23.0,13.400298190384586,NaN
national,294,reference,234.0,23.0,98.0,174.0,12.0,11.0,25.0,NaN,NaN
national,295,calibration,164.0,25.0,195.0,148.0,9.0,13.0,23.0,50.163303879354785,NaN
national,296,reference,145.0,22.0,236.0,134.0,9.0,12.0,19.0,NaN,NaN
national,297,calibration,199.0,26.0,183.0,126.0,10.0,11.0,22.0,41.66474805383136,NaN
national,298,reference,190.0,21.0,177.0,151.0,7.0,14.0,17.0,NaN,NaN
